What are the famous Twin Towers in Malaysia?,Petronas Twin Towers,Kuala Lumpur Tower,Langkawi Sky Bridge,Petronas Twin Towers,Genting Highlands
What is the traditional dance of the Malay culture in Malaysia?,Joget,Silat,Zapin,Joget,Dikir Barat
What is the main religion practiced in Malaysia?,Islam,Buddhism,Hinduism,Islam,Christianity
Which Malaysian state is known as the Land Below the Wind?,Sabah,Perak,Selangor,Sabah,Sarawak
What is the traditional clothing worn by Malay women in Malaysia?,Baju Kurung,Kebaya,Sarong,Baju Kurung,Cheongsam
Which Malaysian island is famous for its clear waters and diving spots?,Tioman,Langkawi,Penang,Tioman,Perhentian
What is the popular Malaysian dish made from flat rice noodles, shrimp  and chili paste?,Laksa,Nasi Lemak,Roti Canai,Laksa,Mee Goreng
What is the official language of Singapore?,Malay,Mandarin,Tamil,Malay,English
What is the name of the river that flows through Singapore's central business district?,Singapore River,Kallang River,Rochor River,Singapore River,Marina River
Which iconic building is often referred to as the Lion City?,Marina Bay Sands,Raffles Hotel,The Interlace,Marina Bay Sands,Lion Tower
In which year did Singapore gain independence from Malaysia?,1965,1959,1971,1965,1963
What is the name of the popular hawker center in Singapore known for its diverse food stalls?,Maxwell Food Centre,Lau Pa Sat,Chinatown Food Street,Maxwell Food Centre,Newton Food Hub
Who is the founding father and first Prime Minister of Singapore?,Lee Kuan Yew,Goh Chok Tong,Lee Hsien Loong,Lee Kuan Yew,Tony Tan
What is the national flower of Singapore?,Orchid,Hibiscus,Jasmine,Orchid,Sunflower
What is the capital city of Thailand?,Bangkok,Phnom Penh,Hanoi,Bangkok,Jakarta
What is the official language of Thailand?,Thai,Mandarin,Khmer,Thai,Lao
What is the traditional Thai greeting often accompanied by a bow?,Sawadee Krub/Ka,Aloha,Konnichiwa,Sawadee Krub/Ka,Namaste
Which river flows through the heart of Bangkok the capital of Thailand?,Chao Phraya River,Mekong River,Yangtze River,Chao Phraya River,Irrawaddy River
What is the significance of Songkran the Thai New Year festival?,Water Festival,Lantern Festival,Flower Festival,Water Festival,Firecracker Festival
Who is the current monarch of Thailand as of your knowledge cutoff date?,King Rama X,King Rama IX,King Bhumibol Adulyadej,King Rama X,King Vajiralongkorn
What is the popular Thai dish made from stir-fried rice noodles with egg, tofu, and shrimp?,Pad Thai,Tom Yum Goong,Green Curry,Pad Thai,Massaman Curry
